GEOID,total_sales,median_price,median_SF
47119010700,2,488000.0,3572.0
47119010801,36,387939.0,2372.0
47119010802,29,333689.0,1438.0
47119010900,4,394950.0,1550.0
47119011001,11,706451.0,2886.0
47119011003,1,635000.0,2395.0
47119011004,4,249950.0,1381.0
47119011101,8,524636.5,2683.0
47119011200,12,565370.0,2128.0
47147080101,27,499900.0,2460.0
47147080103,144,382580.0,1883.0
47147080104,57,386190.0,1883.0
47147080200,22,410000.0,1803.0
47147080301,17,287000.0,1391.0
47147080302,16,279950.0,1303.0
47147080401,13,284900.0,1224.0
47147080402,30,329950.0,1320.0
47147080500,26,499950.0,2096.0
47147080603,23,416350.0,2108.0
47147080604,3,486000.0,2148.0
47147080605,8,412500.0,1964.5
47147080606,10,474950.0,2081.0
47147080701,6,570125.0,2575.0
47147080702,18,724450.0,2673.0
47149040101,26,412500.0,1854.0
47149040102,70,439529.0,1880.0
47149040104,4,354450.0,1752.0
47149040105,20,487956.0,2613.0
47149040106,3,250000.0,1167.0
47149040200,8,533220.0,2067.5
47149040303,1,480000.0,2419.0
47149040304,130,490025.0,2708.0
47149040305,2,329000.0,1500.0
47149040307,83,432000.0,1900.0
47149040308,62,544447.5,2773.5
47149040309,7,619000.0,2760.0
47149040310,16,521700.0,2807.0
47149040311,2,1157500.0,3288.0
47149040312,5,643000.0,2690.0
47149040404,5,485500.0,2380.0
47149040405,8,527275.0,2426.5
47149040501,115,389865.0,2064.0
47149040502,46,592395.0,2887.0
47149040600,21,649900.0,2690.0
47149040702,88,420000.0,2202.0
47149040703,134,462955.0,2504.0
47149040704,127,377570.0,1835.0
47149040806,169,564175.0,2744.0
47149040807,293,549900.0,2540.0
47149040808,44,547450.0,2611.5
47149040809,120,495055.0,2472.0
47149040810,29,580000.0,2777.0
47149040811,80,494245.5,2571.5
47149040812,38,512556.0,2522.0
47149040901,65,520014.0,2310.0
47149040904,6,361400.0,1757.0
47149040906,7,515000.0,2418.0
47149040907,55,420000.0,2071.0
47149040908,7,440000.0,2282.0
47149040909,40,487055.0,2536.5
47149040910,25,556455.0,3067.0
47149040911,112,487482.5,2418.0
47149041000,100,549990.0,2705.5
47149041102,46,394900.0,2027.0
47149041103,7,339990.0,2296.0
47149041104,5,690000.0,3199.0
47149041201,18,392500.0,1779.0
47149041202,138,445000.0,2364.0
47149041301,4,515663.5,2570.5
47149041302,24,832043.5,3683.0
47149041401,2,387450.0,2014.5
47149041404,1,425000.0,1832.0
47149041405,1,250000.0,2637.0
47149041406,16,699000.0,3120.0
47149041407,5,619900.0,2949.0
47149041601,4,437700.0,1617.0
47149041602,1,590855.0,3365.0
47149041700,3,392999.0,1685.0
47149041800,8,417499.5,2378.5
47149041900,1,390000.0,1365.0
47149042000,1,1185000.0,4069.0
47149042102,1,595900.0,2695.0
47149042200,15,459990.0,2028.0
47149042301,4,390827.5,1670.0
47149042302,12,932450.0,3606.0
47159975000,7,450000.0,1697.0
47159975100,4,274500.0,1399.0
47159975200,43,399900.0,1832.0
47159975300,6,343000.0,1760.0
47159975400,11,359000.0,1664.0
47165020101,18,381500.0,1722.5
47165020102,8,293500.0,1498.5
47165020203,13,379900.0,1541.0
47165020204,17,350000.0,1374.0
47165020205,12,314950.0,1391.5
47165020206,4,241950.0,1518.0
47165020207,5,590000.0,3097.0
47165020208,6,505000.0,2140.5
47165020209,10,456100.0,2651.5
47165020300,32,282500.0,1117.0
47165020403,2,774950.0,2834.0
47165020404,26,659725.0,2754.5
47165020405,9,315000.0,1965.0
47165020406,22,537450.0,2689.5
47165020407,20,379950.0,1828.0
47165020501,50,493817.5,2532.0
47165020502,57,509225.0,2443.0
47165020503,28,445955.0,1841.5
47165020601,15,595000.0,2680.0
47165020602,9,565000.0,2755.0
47165020603,13,553250.0,2252.0
47165020700,24,389950.0,1811.0
47165020800,27,423000.0,1923.0
47165020901,3,600000.0,2700.0
47165020903,19,482500.0,2682.0
47165020904,6,447500.0,2130.0
47165020905,13,527500.0,2569.0
47165021002,5,575000.0,2825.0
47165021004,3,439000.0,2600.0
47165021005,11,691801.0,2957.0
47165021006,12,750865.0,3013.5
47165021007,90,640000.0,2657.5
47165021008,41,597398.0,2606.0
47165021009,7,654990.0,2872.0
47165021103,2,607500.0,3042.0
47165021104,3,110000.0,3156.0
47165021105,5,679900.0,2689.0
47165021107,1,690950.0,2664.0
47165021201,11,879950.0,3383.0
47165021203,30,1120475.0,4104.0
47165021204,2,771000.0,2637.0
47165021205,31,483190.0,2379.0
47169090100,32,399950.0,1891.5
47169090200,25,335000.0,1566.0
47187050102,90,842245.0,3087.0
47187050103,165,1030000.0,3872.0
47187050104,16,1397950.0,4002.0
47187050105,43,1625000.0,4621.0
47187050204,3,1700000.0,4382.0
47187050205,12,2500000.0,6006.0
47187050206,21,4020861.0,6974.0
47187050207,16,2071430.0,5164.5
47187050209,1,2997500.0,5390.0
47187050210,18,1599950.0,3861.5
47187050211,2,919000.0,2819.5
47187050303,3,3000000.0,5574.0
47187050304,4,4581555.0,7662.0
